panel,panel_order,month,estimate,lower,upper
panel_3,3,22,0.00053238,-0.00180370,0.00286845
panel_3,3,23,0.00028648,-0.00180370,0.00225370
panel_3,3,24,0.00040943,-0.00155779,0.00237665
panel_3,3,25,-0.00002090,-0.00168074,0.00176189
panel_3,3,26,0.00004057,-0.00143484,0.00151599
panel_3,3,27,0.00004057,-0.00131189,0.00151599
panel_3,3,28,-0.00008238,-0.00143484,0.00127009
panel_3,3,29,0.00004057,-0.00118894,0.00127009
panel_3,3,30,0.00004057,-0.00106599,0.00127009
panel_3,3,31,-0.00002090,-0.00118894,0.00102418
panel_3,3,32,-0.00002090,-0.00106599,0.00114714
panel_3,3,33,-0.00008238,-0.00106599,0.00102418
panel_3,3,34,-0.00008238,-0.00118894,0.00102418
panel_3,3,35,0.00004057,-0.00094304,0.00102418
panel_3,3,36,0.00010205,-0.00082009,0.00102418
panel_4,4,0,-0.00296041,-0.00680043,0.00099960
panel_4,4,1,-0.00278041,-0.00740043,0.00159961
panel_4,4,2,-0.00386042,-0.00908044,0.00099960
panel_4,4,3,-0.00548042,-0.01040044,-0.00092040
panel_4,4,4,-0.00608042,-0.01088044,-0.00152041
panel_4,4,5,-0.00620042,-0.01112044,-0.00092040
panel_4,4,6,-0.00524042,-0.01100044,0.00075960
panel_4,4,7,-0.00392042,-0.00956044,0.00171961
panel_4,4,8,-0.00392042,-0.00992044,0.00243961
panel_4,4,9,-0.00182041,-0.00848043,0.00519962
panel_4,4,10,-0.00020040,-0.00620042,0.00591962
panel_4,4,11,0.00105960,-0.00512042,0.00723963
panel_4,4,12,0.00183961,-0.00440042,0.00771963
panel_4,4,13,0.00231961,-0.00284041,0.00759963
panel_4,4,14,0.00147961,-0.00332041,0.00651963
panel_4,4,15,0.00183961,-0.00284041,0.00615962
panel_4,4,16,0.00195961,-0.00200041,0.00615962
panel_4,4,17,0.00159961,-0.00212041,0.00555962
panel_4,4,18,0.00171961,-0.00200041,0.00507962
panel_4,4,19,0.00141961,-0.00200041,0.00495962
panel_4,4,20,0.00099960,-0.00212041,0.00399962
panel_4,4,21,0.00123960,-0.00164041,0.00399962
panel_4,4,22,0.00063960,-0.00188041,0.00351961
panel_4,4,23,0.00033960,-0.00188041,0.00267961
panel_4,4,24,0.00039960,-0.00164041,0.00231961
panel_4,4,25,0.00003960,-0.00164041,0.00195961
panel_4,4,26,0.00003960,-0.00140041,0.00147961
panel_4,4,27,0.00003960,-0.00140041,0.00135961
panel_4,4,28,-0.00020040,-0.00140041,0.00099960
panel_4,4,29,-0.00020040,-0.00128041,0.00087960
panel_4,4,30,-0.00020040,-0.00140041,0.00087960
panel_4,4,31,-0.00032040,-0.00140041,0.00075960
panel_4,4,32,-0.00020040,-0.00128041,0.00087960
panel_4,4,33,-0.00014040,-0.00128041,0.00099960
panel_4,4,34,-0.00008040,-0.00128041,0.00111960
panel_4,4,35,0.00003960,-0.00116040,0.00123960
panel_4,4,36,0.00009960,-0.00104040,0.00123960
panel_5,5,0,0.00021960,-0.00044040,0.00063960
panel_5,5,1,-0.00020040,-0.00140041,0.00063960
panel_5,5,2,-0.00068040,-0.00188041,0.00027960
panel_5,5,3,-0.00104040,-0.00236041,-0.00008040
panel_5,5,4,-0.00116040,-0.00248041,0.00003960
panel_5,5,5,-0.00116040,-0.00260041,0.00027960
panel_5,5,6,-0.00104040,-0.00260041,0.00063960
panel_5,5,7,-0.00056040,-0.00236041,0.00135961
panel_5,5,8,-0.00020040,-0.00212041,0.00195961
panel_5,5,9,0.00039960,-0.00152041,0.00243961
panel_5,5,10,0.00063960,-0.00116040,0.00255961
panel_5,5,11,0.00075960,-0.00116040,0.00279961
panel_5,5,12,0.00075960,-0.00116040,0.00279961
panel_5,5,13,0.00075960,-0.00116040,0.00279961
panel_5,5,14,0.00063960,-0.00128041,0.00279961
panel_5,5,15,0.00063960,-0.00128041,0.00255961
panel_5,5,16,0.00063960,-0.00128041,0.00243961
panel_5,5,17,0.00075960,-0.00104040,0.00255961
panel_5,5,18,0.00087960,-0.00080040,0.00255961
panel_5,5,19,0.00099960,-0.00068040,0.00255961
panel_5,5,20,0.00099960,-0.00044040,0.00243961
panel_5,5,21,0.00105960,-0.00032040,0.00243961
panel_5,5,22,0.00105960,-0.00020040,0.00231961
panel_5,5,23,0.00105960,-0.00008040,0.00231961
panel_5,5,24,0.00099960,-0.00008040,0.00207961
panel_5,5,25,0.00099960,0.00003960,0.00195961
panel_5,5,26,0.00099960,0.00003960,0.00183961
panel_5,5,27,0.00087960,0.00003960,0.00183961
panel_5,5,28,0.00087960,0.00003960,0.00171961
panel_5,5,29,0.00075960,0.00003960,0.00159961
panel_5,5,30,0.00075960,-0.00008040,0.00159961
panel_5,5,31,0.00063960,-0.00020040,0.00147961
panel_5,5,32,0.00063960,-0.00032040,0.00147961
panel_5,5,33,0.00051960,-0.00032040,0.00135961
panel_5,5,34,0.00039960,-0.00044040,0.00135961
panel_5,5,35,0.00039960,-0.00056040,0.00135961
panel_5,5,36,0.00033960,-0.00056040,0.00123960
panel_6,6,0,-0.00284041,-0.00656043,0.00123960
panel_6,6,1,-0.00224041,-0.00644043,0.00195961
panel_6,6,2,-0.00302041,-0.00776043,0.00147961
