panel,horizon,group,group_order,estimate,lower,upper
interest,5,War site,1,0.17606659,0.09105509,0.26107809
interest,6,War site,1,0.22159975,0.12506303,0.31813648
interest,7,War site,1,0.24552876,0.14553997,0.34551756
interest,8,War site,1,0.22171021,0.11286223,0.33055819
interest,0,Belligerent,2,0.03723993,0.00790341,0.06657644
interest,1,Belligerent,2,0.03359394,-0.01072651,0.07791440
interest,2,Belligerent,2,0.06219148,0.00429643,0.12008654
interest,3,Belligerent,2,0.08998926,0.02315107,0.15682745
interest,4,Belligerent,2,0.01708708,-0.05554469,0.08971886
interest,5,Belligerent,2,0.04643157,-0.07661196,0.16947509
interest,6,Belligerent,2,0.17983234,-0.06104364,0.42070831
interest,7,Belligerent,2,0.15543819,-0.02717759,0.33805396
interest,8,Belligerent,2,0.09241225,-0.05852342,0.24334791
interest,0,Third,3,0.00358834,-0.01998663,0.02716332
interest,1,Third,3,0.02376284,-0.04726246,0.09478813
interest,2,Third,3,0.03059245,-0.04883522,0.11002011
interest,3,Third,3,0.08168127,-0.02689433,0.19025686
interest,4,Third,3,0.08938990,-0.04225909,0.22103889
interest,5,Third,3,0.07950799,-0.08389238,0.24290836
interest,6,Third,3,0.10963486,-0.08920607,0.30847579
interest,7,Third,3,0.08998350,-0.08490034,0.26486734
interest,8,Third,3,0.05570724,-0.10070995,0.21212443
military_personnel,0,War site,1,0.25351806,0.11291340,0.39412272
military_personnel,1,War site,1,0.71226909,0.53213084,0.89240734
military_personnel,2,War site,1,0.70103640,0.48850713,0.91356567
military_personnel,3,War site,1,0.79878681,0.54692663,1.05064700
military_personnel,4,War site,1,0.82670652,0.55163681,1.10177620
military_personnel,5,War site,1,0.31697235,0.15569907,0.47824564
military_personnel,6,War site,1,0.14960522,0.04046138,0.25874907
military_personnel,7,War site,1,-0.00416800,-0.09815516,0.08981916
military_personnel,8,War site,1,0.01435230,-0.07591131,0.10461591
military_personnel,0,Belligerent,2,0.08969718,0.01104044,0.16835392
military_personnel,1,Belligerent,2,0.60515854,0.15218766,1.05812940
military_personnel,2,Belligerent,2,0.42199331,0.34721500,0.49677162
military_personnel,3,Belligerent,2,0.50068971,0.32762344,0.67375597
military_personnel,4,Belligerent,2,0.46573237,0.23700182,0.69446292
military_personnel,5,Belligerent,2,0.13871543,-0.11487980,0.39231066
military_personnel,6,Belligerent,2,0.08904531,-0.09574380,0.27383442
military_personnel,7,Belligerent,2,0.06006676,-0.04028229,0.16041581
military_personnel,8,Belligerent,2,0.03432185,-0.07881692,0.14746062
military_personnel,0,Third,3,-0.00308305,-0.02721173,0.02104562
military_personnel,1,Third,3,0.01139984,-0.03435044,0.05715012
military_personnel,2,Third,3,-0.01848860,-0.04629203,0.00931484
military_personnel,3,Third,3,-0.00135017,-0.04148129,0.03878095
military_personnel,4,Third,3,0.00932689,-0.03863814,0.05729193
military_personnel,5,Third,3,0.02833595,-0.03679400,0.09346589
military_personnel,6,Third,3,0.03841401,-0.02861913,0.10544715
military_personnel,7,Third,3,0.04562610,-0.04765342,0.13890562
military_personnel,8,Third,3,0.03537397,-0.04840206,0.11915001
military_spending,0,War site,1,0.89993140,-0.06514206,1.86500480
military_spending,1,War site,1,0.78417370,-0.45213303,2.02048040
military_spending,2,War site,1,1.63741490,0.71522692,2.55960280
military_spending,3,War site,1,2.05751710,1.24448730,2.87054690
military_spending,4,War site,1,2.33703740,1.44951780,3.22455710
military_spending,5,War site,1,0.47040856,-0.83178158,1.77259870
military_spending,6,War site,1,0.31704547,-0.84385463,1.47794560
military_spending,7,War site,1,0.43557220,-1.01076650,1.88191090
military_spending,8,War site,1,0.59977618,-0.97160970,2.17116210
military_spending,0,Belligerent,2,0.35198984,-0.23612655,0.94010622
military_spending,1,Belligerent,2,1.63810240,0.24882995,3.02737490
military_spending,2,Belligerent,2,2.35012300,1.54288260,3.15736330
military_spending,3,Belligerent,2,2.33305250,1.78229990,2.88380500
military_spending,4,Belligerent,2,2.06654940,0.97972278,3.15337610
military_spending,5,Belligerent,2,1.30314760,0.20064535,2.40564990
military_spending,6,Belligerent,2,0.31558503,-0.70237552,1.33354560
military_spending,7,Belligerent,2,-0.03531963,-0.80113913,0.73049987
military_spending,8,Belligerent,2,-0.24782162,-0.72379662,0.22815338
military_spending,0,Third,3,-0.11725724,-0.30849573,0.07398126
military_spending,1,Third,3,0.01039441,-0.07201921,0.09280803
military_spending,2,Third,3,0.04423616,-0.08224370,0.17071601
military_spending,3,Third,3,0.06586988,-0.12329810,0.25503785
military_spending,4,Third,3,0.10002961,-0.10540240,0.30546163
military_spending,5,Third,3,0.10870400,-0.16394032,0.38134832
military_spending,6,Third,3,0.15799562,-0.23036405,0.54635529
military_spending,7,Third,3,0.14653033,-0.27643746,0.56949812
military_spending,8,Third,3,0.16474819,-0.23127331,0.56076969
output,0,War site,1,-3.55820050,-4.28406200,-2.83233900
output,1,War site,1,-6.92566890,-8.69045190,-5.16088600
output,2,War site,1,-6.85003690,-9.60918350,-4.09089030
output,3,War site,1,-7.61205820,-9.63149610,-5.59262030
output,4,War site,1,-9.31677770,-11.64572800,-6.98782760
output,5,War site,1,-8.61383630,-11.59074300,-5.63692920
output,6,War site,1,-6.84652040,-10.18948900,-3.50355170
output,7,War site,1,-6.00825410,-8.51860190,-3.49790630
output,8,War site,1,-4.63266980,-7.20370040,-2.06163910
output,0,Belligerent,2,-0.28252423,-0.73497079,0.16992233
output,1,Belligerent,2,-0.17625393,-0.94398131,0.59147346
output,2,Belligerent,2,0.13078772,-1.01087550,1.27245100
output,3,Belligerent,2,-0.26338237,-1.81440840,1.28764370
output,4,Belligerent,2,-0.87240096,-2.82073610,1.07593420
output,5,Belligerent,2,-1.03661200,-2.79148950,0.71826553
output,6,Belligerent,2,-1.50590260,-3.33794360,0.32613829
output,7,Belligerent,2,-1.48848100,-3.17229420,0.19533220
output,8,Belligerent,2,-1.29265110,-2.62900300,0.04370083
output,0,Third,3,-0.45813675,-0.81739929,-0.09887420
output,1,Third,3,-0.62361691,-0.98620983,-0.26102399
output,2,Third,3,-0.65464359,-1.11575820,-0.19352900
output,3,Third,3,-0.77198081,-1.31553270,-0.22842887
output,4,Third,3,-1.32826920,-1.82942660,-0.82711185
output,5,Third,3,-1.13218040,-1.68175770,-0.58260311
output,6,Third,3,-1.22566890,-1.88059990,-0.57073792
output,7,Third,3,-1.32531980,-2.11141500,-0.53922461
output,8,Third,3,-1.20881490,-2.06676930,-0.35086046
tfp,0,War site,1,-3.57174220,-4.42824030,-2.71524420
tfp,1,War site,1,-5.68101680,-6.80489300,-4.55714070
tfp,2,War site,1,-4.61179690,-6.46874340,-2.75485030
tfp,3,War site,1,-5.95344180,-8.48806180,-3.41882180
