panel,row,column,assets,factors,red,green,blue
5,1,1,150,2,157,202,72
5,1,2,150,3,128,201,93
5,1,3,150,4,112,199,104
5,1,4,150,5,255,196,71
5,1,5,150,6,255,204,70
5,1,6,150,7,249,230,74
5,1,7,150,8,253,222,69
5,1,8,150,9,253,222,69
5,1,9,150,10,255,212,71
5,1,10,150,11,255,209,70
5,2,0,200,1,57,105,183
5,2,1,200,2,163,201,70
5,2,2,200,3,148,203,79
5,2,3,200,4,128,201,93
5,2,4,200,5,208,191,58
5,2,5,200,6,255,212,71
5,2,6,200,7,255,89,35
5,2,7,200,8,255,201,70
5,2,8,200,9,255,191,70
5,2,9,200,10,255,191,70
5,2,10,200,11,255,188,72
5,3,0,250,1,58,101,181
5,3,1,250,2,135,202,88
5,3,2,250,3,229,86,36
5,3,3,250,4,130,201,90
5,3,4,250,5,123,200,95
5,3,5,250,6,219,190,56
5,3,6,250,7,255,217,70
5,3,7,250,8,255,217,70
5,3,8,250,9,255,209,71
5,3,9,250,10,255,202,70
5,3,10,250,11,255,184,71
5,4,0,300,1,58,98,180
5,4,1,300,2,112,198,107
5,4,2,300,3,157,202,72
5,4,3,300,4,135,202,88
5,4,4,300,5,135,202,88
5,4,5,300,6,160,201,71
5,4,6,300,7,254,219,71
5,4,7,300,8,254,219,71
5,4,8,300,9,252,221,70
5,4,9,300,10,254,219,71
5,4,10,300,11,255,202,70
5,5,0,350,1,57,95,179
5,5,1,350,2,89,196,131
5,5,2,350,3,177,198,64
5,5,3,350,4,148,203,79
5,5,4,350,5,135,202,88
5,5,5,350,6,141,203,84
5,5,6,350,7,255,202,70
5,5,7,350,8,255,218,71
5,5,8,350,9,255,217,70
5,5,9,350,10,255,212,71
5,5,10,350,11,255,67,29
5,6,0,400,1,58,94,178
5,6,1,400,2,65,197,177
5,6,2,400,3,175,199,66
5,6,3,400,4,138,203,86
5,6,4,400,5,122,200,97
5,6,5,400,6,122,200,97
5,6,6,400,7,246,184,61
